encoder	origin	n	similarity	mean_jsd	n_correct	accuracy	kappa
bol	gemma_only	8	0.7292212409089391	0.18768953341948946	5	0.625	0.52
bol	qwen_only	24	0.5036045378996827	0.3440751149975861	7	0.2916666666666667	0.16904276985743394
bol	ministral_only	6	0.33667715928543707	0.45978035684231294	1	0.16666666666666666	0.03225806451612889
bol	shared_2	15	0.5483117021299673	0.313086470160534	6	0.4	-0.04651162790697683
bol	shared_3	8	0.49685728987638644	0.3487519509414726	3	0.375	0.24528301886792447
gemma	gemma_only	30	0.8320038885670298	0.1164460309847977	24	0.8	0.7554347826086956
gemma	qwen_only	43	0.7638795700262723	0.1636662103088914	30	0.6976744186046512	0.6255860683188212
gemma	ministral_only	23	0.484190492556274	0.3575319057906328	6	0.2608695652173913	0.1272321428571428
gemma	shared_2	16	0.7123388731331929	0.19939149904442408	9	0.5625	0.37777777777777777
gemma	shared_3	9	0.7640167869290405	0.16357109879961237	7	0.7777777777777778	0.7096774193548387
gemma_intro_v7_primed	gemma_only	30	0.8216344124850296	0.12363360409491997	20	0.6666666666666666	0.5912806539509536
gemma_intro_v7_primed	qwen_only	43	0.7461192699106588	0.1759767122599273	26	0.6046511627906976	0.52128356254093
gemma_intro_v7_primed	ministral_only	23	0.44710763211949855	0.38323578594948166	5	0.21739130434782608	0.0840707964601769
gemma_intro_v7_primed	shared_2	16	0.7220712866189832	0.19264550407670492	8	0.5	0.2928176795580111
gemma_intro_v7_primed	shared_3	9	0.8211527837580972	0.1239674436890698	7	0.7777777777777778	0.7096774193548387
gpt_oss_20b	gemma_only	30	0.6179418854614287	0.2648225049024593	13	0.43333333333333335	0.2837078651685394
gpt_oss_20b	qwen_only	43	0.6544312514242034	0.23953000376494196	19	0.4418604651162791	0.32504905166775655
gpt_oss_20b	ministral_only	23	0.6854993186702558	0.21799526054789403	7	0.30434782608695654	0.15207373271889402
gpt_oss_20b	shared_2	16	0.8009909877741761	0.13794253573034954	7	0.4375	0.29064039408866993
gpt_oss_20b	shared_3	9	0.8398596451011263	0.11100083549202333	7	0.7777777777777778	0.7096774193548387
granite	gemma_only	30	0.39997015657719126	0.4159089942203453	9	0.3	0.12378303198887342
granite	qwen_only	43	0.6066960702034464	0.27261751004162776	19	0.4418604651162791	0.31016042780748676
granite	ministral_only	23	0.5811384917531498	0.29033267348639047	5	0.21739130434782608	0.03944315545243604
granite	shared_2	16	0.7343458506130358	0.18413742465162478	9	0.5625	0.36363636363636365
granite	shared_3	9	0.6138157675328988	0.26768251191127773	3	0.3333333333333333	0.25
haiku	gemma_only	8	0.679089134009736	0.2224384619722019	3	0.375	0.16666666666666663
haiku	qwen_only	19	0.6740780723945181	0.22591186520240236	8	0.42105263157894735	0.30564784053156135
haiku	ministral_only	1	0.5916449365713174	0.28305016088296897	0	0.0	0.0
haiku	shared_2	10	0.7768517064497681	0.15467461052110626	6	0.6	0.2857142857142857
haiku	shared_3	8	0.8683437426232018	0.09125716360380216	5	0.625	0.5
ministral	gemma_only	30	0.5320562435548033	0.32435389544061777	9	0.3	0.17539267015706816
ministral	qwen_only	43	0.6650332066535514	0.23218128838929666	22	0.5116279069767442	0.40079628400796274
ministral	ministral_only	23	0.7364307698828567	0.18269226873805328	7	0.30434782608695654	0.15789473684210542
ministral	shared_2	16	0.7782590364461899	0.1536991237019691	5	0.3125	0.07853403141361259
ministral	shared_3	9	0.7907074869430548	0.14507051533772714	2	0.2222222222222222	0.125
opus	gemma_only	30	0.7350907200320287	0.18362112051396454	15	0.5	0.3706293706293706
opus	qwen_only	43	0.7843350979649052	0.14948751879136277	28	0.6511627906976745	0.5778795811518325
opus	ministral_only	23	0.537319263524797	0.32070584798718604	6	0.2608695652173913	0.1330376940133038
opus	shared_2	16	0.8705642471183705	0.0897180271735553	10	0.625	0.4
opus	shared_3	9	0.870797931177191	0.08955604972704206	7	0.7777777777777778	0.7142857142857142
qwen	gemma_only	30	0.5309786896163068	0.32510079891498794	9	0.3	0.11764705882352933
qwen	qwen_only	43	0.6123977997876158	0.2686653722560456	15	0.3488372093023256	0.2301790281329923
qwen	ministral_only	23	0.6014750518547212	0.27623644418969845	7	0.30434782608695654	0.14018691588785048
qwen	shared_2	16	0.7321214373294701	0.1856792704475284	6	0.375	0.08571428571428574
qwen	shared_3	9	0.7235988423948769	0.19158668309749616	0	0.0	-0.09459459459459474
rinna_bilingual_4b	gemma_only	30	0.5367063150223259	0.32113071151350225	10	0.3333333333333333	0.1701244813278009
rinna_bilingual_4b	qwen_only	43	0.4978203795044759	0.34808438808113584	9	0.20930232558139536	0.09248913718187446
rinna_bilingual_4b	ministral_only	23	0.5885898920516845	0.28516775637823755	2	0.08695652173913043	-0.012578616352201255
rinna_bilingual_4b	shared_2	16	0.6268915777127579	0.2586190509515713	1	0.0625	-0.05726872246696035
rinna_bilingual_4b	shared_3	9	0.7299104818264863	0.18721178802076507	4	0.4444444444444444	0.0
rinna_bilingual_4b_jp	gemma_only	30	0.43134007883599035	0.394165021052274	7	0.23333333333333334	0.07999999999999996
rinna_bilingual_4b_jp	qwen_only	43	0.445271795273695	0.3845082910831184	7	0.16279069767441862	0.04444444444444451
rinna_bilingual_4b_jp	ministral_only	21	0.4641028492587721	0.37145559910639014	2	0.09523809523809523	0.0
rinna_bilingual_4b_jp	shared_2	16	0.479089988712719	0.3610673056492281	1	0.0625	0.0
rinna_bilingual_4b_jp	shared_3	9	0.6411179124045595	0.24875810717024688	4	0.4444444444444444	0.06250000000000011
rinna_jp_3_6b	gemma_only	30	0.46901845292639666	0.368048362283426	4	0.13333333333333333	-0.020942408376963373
rinna_jp_3_6b	qwen_only	43	0.5380868635977474	0.3201737881608228	7	0.16279069767441862	-0.015748031496062964
rinna_jp_3_6b	ministral_only	23	0.6272403813495249	0.2583772786941772	6	0.2608695652173913	0.032178217821781985
rinna_jp_3_6b	shared_2	16	0.616033177271632	0.2661455206027286	0	0.0	-0.10344827586206895
rinna_jp_3_6b	shared_3	9	0.7012242845499865	0.20709554478395734	2	0.2222222222222222	0.015625
rinna_jp_3_6b_jp	gemma_only	30	0.44835811320033137	0.3823690185139588	6	0.2	0.05013192612137218
rinna_jp_3_6b_jp	qwen_only	43	0.5138105760879377	0.33700082840271006	11	0.2558139534883721	0.12856238125395814
rinna_jp_3_6b_jp	ministral_only	21	0.4453199579317042	0.3844749072725111	2	0.09523809523809523	-2.220446049250313e-16
rinna_jp_3_6b_jp	shared_2	16	0.6297008899288254	0.25667178410969144	2	0.125	-0.022831050228310446
rinna_jp_3_6b_jp	shared_3	9	0.7187168849545782	0.19497059813285286	5	0.5555555555555556	0.2941176470588237
